x,y
438,7328
439,7434
440,7587
441,7550
442,7515
443,7849
444,7844
445,7753
446,8073
447,8255
448,8497
449,8698
450,8722
451,8830
452,8851
453,8535
454,8626
455,8205
456,7960
457,7616
458,7238
459,7103
460,7299
461,7312
462,7579
463,8681
464,10621
465,12258
466,12951
467,12061
468,10965
469,10185
470,9226
471,8889
472,8035
473,7455
474,6966
475,7040
476,7122
477,7235
478,7359
479,7287
480,7555
481,7911
482,9434
483,10711
484,14511
485,18137
486,16633
487,13400
488,9678
489,7620
490,6962
491,7297
492,9893
493,11900
494,12369
495,11086
496,8558
497,7500
498,6634
499,6568
500,6776
501,6887
502,6744
503,6553
504,6626
505,6128
506,5938
507,5981
508,6063
509,6209
510,6267
511,6518
512,6483
513,6491
514,6450
515,6396
516,6313
517,6372
518,6502
519,6637
520,6476
521,6377
522,6283
523,6331
524,6208
525,6232
526,6219
527,6336
528,6326
529,6342
530,6949
531,8199
532,9337
533,10764
534,12405
535,14214
536,16208
537,17773
538,15512
539,13528
540,10608
541,7024
542,6130
543,5909
544,5768
545,5715
546,5576
547,5657
548,5378
549,5240
550,4966
551,4906
552,4736
553,4662
554,4712
555,4901
556,4888
557,5002
558,5133
559,5325
560,5342
561,5528
562,5578
563,5477
564,5325
565,5209
566,5200
567,5157
568,4995
569,5082
570,4986
571,4968
572,4872
573,4935
574,5067
575,5132
576,5249
577,5202
578,5426
579,5328
580,5236
581,4916
582,4792
583,4591
584,4915
585,4783
586,4766
587,4942
588,4790
589,4671
590,4683
591,4767
592,4718
593,4815
594,4807
595,4788
596,4730
597,4678
598,4663
599,4665
600,4564
601,4600
602,4549
603,4570
604,4576
605,4706
606,4781
607,4850
608,5042
609,5390
610,5692
611,6059
612,6165
613,5631
614,5215
615,5255
616,5184
617,5103
618,5153
619,5000
620,5124
621,5157
622,5440
623,5295
624,5557
625,5490
626,5558
627,5578
628,5479
629,5317
630,5187
631,5232
632,5081
633,5008
634,5019
635,4954
636,5001
637,4949
638,4839
639,4938
640,4736
641,4767
642,4708
643,4707
644,4696
645,4672
646,4704
647,4759
648,4588
649,4618
650,4840
651,4892
652,4784
653,4900
654,5182
655,5303
656,5422
657,5196
658,5087
659,4907
660,4609
661,4468
662,4483
663,4370
664,4444
665,4288
666,4161
667,4180
668,4199
669,4459
670,4699
671,4808
672,4760
673,4788
674,4820
675,4689
676,4547
677,4653
678,4555
679,4685
680,4946
681,4983
682,5214
683,5233
684,4983
685,4754
686,4740
687,4709
688,4516
689,4743
690,4796
691,4977
692,5030
693,4737
694,4697
695,4797
696,4768
697,4631
698,4659
699,4369
700,4254
701,4112
702,4183
703,4152
704,4300
705,4427
706,4345
707,4185
708,4039
709,3935
710,3995
711,3984
712,4073
713,4171
714,4255
715,5369
716,10224
717,21640
718,30499
719,25070
720,13675
721,8421
722,6863
723,6771
724,6920
725,7345
726,7414
727,7833
728,7828
729,8242
730,8373
731,8677
732,8591
733,8416
734,8120
735,7800
736,7760
737,7542
738,7171
739,6867
740,6656
741,6418
742,6170
743,5378
744,5236
745,5100
746,5223
747,5262
748,5409
749,5672
750,5410
751,5101
752,4675
753,4439
754,4466
755,4351
756,4344
757,4132
758,4218
759,4199
760,4294
761,4252
762,4411
763,4487
764,4351
765,4689
766,5448
767,6060
768,6674
769,7175
770,6583
771,5900
772,5539
773,5119
774,4740
775,4320
776,4355
777,4683
778,6080
779,11811
780,23268
781,30114
782,23079
783,11814
784,6197
785,4184
786,3570
787,3941
788,4715
789,5828
790,8303
791,11153
792,13613
793,14743
794,12208
795,9823
796,7641
797,5325
798,4156
799,3992
800,3659
801,3498
802,3739
803,3746
804,3804
805,3962
806,4215
807,4130
808,4235
809,4142
810,4249
811,4288
812,4235
813,4245
814,4247
815,4199
816,4267
817,4330
818,4262
819,4231
820,4174
821,4146
822,3997
823,3944
824,3989
825,3730
826,3734
827,3717
828,3623
829,3612
830,3243
831,3254
832,3135
833,3208
834,3014
835,3052
836,3120
837,3059
838,3172
839,3190
840,2873
841,2831
842,2957
843,3070
844,2964
845,2856
846,2809
847,2899
848,2950
849,2910
850,2923
851,2757
852,2757
853,2706
854,2820
855,2717
856,2687
857,2605
858,2507
859,2467
860,2420
861,2515
862,2513
863,2419
864,2613
865,2637
866,2695
867,2733
868,2792
869,2748
870,2632
871,2523
872,2380
873,2345
874,2323
875,2410
876,2592
877,2513
878,2536
879,2362
880,2346
881,2395
882,2540
883,2573
884,2565
885,2618
886,2544
887,2574
888,2675
889,2736
890,2904
891,3004
892,3167
893,3176
894,2910
895,2921
896,2843
897,2924
898,3601
899,4042
900,3998
901,3448
902,2754
903,2392
904,2421
905,2472
906,2295
907,2215
908,2250
909,2275
910,2300
911,2360
912,2351
913,2569
914,2742
915,2795
916,2872
917,2978
918,2993
919,2993
920,3040
921,3125
922,3158
923,3083
924,3157
925,3073
926,3130
927,3172
928,3134
929,3090
930,3013
931,2981
932,2849
933,2767
934,2730
935,2752
936,2744
937,2761
938,2669
939,2522
940,2482
941,2496
942,2328
943,2138
944,2003
945,1765
946,1692
947,1660
948,1681
949,1744
950,1715
951,1843
952,1845
953,1888
954,1946
955,1874
956,1907
957,1890
958,1968
959,1856
960,1994
961,1921
962,2049
963,1983
964,2222
965,3529
966,6047
967,10325
968,13215
969,14867
970,11890
971,8881
972,5623
973,3572
974,3419
975,2863
976,2370
977,2205
978,2743
979,3367
980,4165
981,7441
982,12330
983,15632
984,18861
985,16413
986,13548
987,8809
988,5033
989,3791
990,2755
991,2106
992,1865
993,1499
994,1412
995,1391
996,1386
997,1292
998,1387
999,1440
1000,1364
1001,1427
1002,1463
1003,1446
1004,1557
1005,1624
1006,1806
1007,1898
1008,1925
1009,1992
1010,1879
1011,1667
1012,1459
1013,1413
1014,1329
1015,1241
1016,1132
1017,1127
1018,1063
1019,1067
1020,1131
1021,1301
1022,1260
1023,1279
1024,1356
1025,1322
1026,1300
1027,1345
1028,1252
1029,1250
1030,1236
1031,1163
1032,1224
1033,1188
1034,1261
1035,1367
1036,1621
1037,1543
1038,1332
1039,1289
1040,1435
1041,1449
1042,1510
1043,1378
1044,1329
1045,1443
1046,1539
1047,1628
1048,1692
1049,1488
1050,1508
1051,1443
1052,1344
1053,1206
1054,1159
1055,1004
1056,995
1057,1130
1058,1121
1059,1204
1060,1263
1061,1536
1062,2508
1063,3852
1064,5476
1065,7896
1066,9505
1067,11242
1068,13053
1069,11645
1070,9786
1071,7002
1072,3986
1073,3199
1074,2703
1075,2046
1076,1496
1077,1386
1078,1290
1079,1153
1080,1076
1081,1090
1082,1023
1083,1000
1084,1155
1085,1223
1086,1493
1087,2307
1088,3897
1089,4930
1090,4272
1091,2956
1092,2595
1093,3505
1094,4687
1095,5673
1096,6426
1097,7229
1098,7760
1099,6965
1100,6279
1101,5456
1102,4849
1103,4172
1104,3244
1105,2780
1106,2412
1107,2072
1108,1860
1109,2085
1110,2425
1111,5589
1112,9790
1113,21708
1114,30477
1115,27416
1116,22183
1117,16553
1118,11260
1119,5979
1120,4393
1121,3916
1122,3768
1123,3369
1124,5432
1125,15391
1126,31025
1127,41833
1128,37204
1129,20161
1130,7562
1131,2372
1132,1080
1133,858
1134,1106
1135,1487
1136,2575
1137,3841
1138,4867
1139,5583
1140,6383
1141,6986
1142,7052
1143,6431
1144,6025
1145,5853
1146,4538
1147,2328
1148,1284
1149,1001
1150,921
1151,906
1152,888
1153,954
1154,1039
1155,1000
1156,1072
1157,1033
1158,895
1159,769
1160,769
1161,737
1162,719
1163,730
1164,734
1165,721
1166,717
1167,832
1168,827
1169,896
1170,921
1171,945
1172,934
1173,790
1174,784
1175,725
1176,703
1177,695
1178,668
1179,660
1180,590
1181,590
1182,587
1183,568
1184,547
1185,583
1186,608
1187,544
1188,591
1189,701
1190,764
1191,893
1192,995
1193,1001
1194,1072
1195,1206
1196,1423
1197,1482
1198,2158
1199,2934
1200,3572
1201,4377
1202,5106
1203,5994
1204,6109
1205,5118
1206,4117
1207,2638
1208,1380
1209,740
1210,595
1211,592
1212,492
1213,522
1214,494
1215,490
1216,514
1217,530
1218,557
1219,598
1220,589
1221,647
1222,635
1223,596
1224,567
1225,510
1226,474
1227,511
1228,573
1229,633
1230,677
1231,790
1232,850
1233,886
1234,792
1235,762
1236,660
1237,534
1238,536
1239,571
1240,550
1241,667
1242,704
1243,720
1244,717
1245,764
1246,634
1247,603
1248,582
1249,516
1250,502
1251,479
1252,568
1253,600
1254,549
1255,553
1256,568
1257,524
1258,547
1259,574
1260,571
1261,548
1262,608
1263,547
1264,541
1265,561
1266,632
1267,608
1268,571
1269,558
1270,582
1271,557
1272,564
1273,673
1274,775
1275,919
1276,1060
1277,1205
1278,1456
1279,1709
1280,1664
1281,1469
1282,1227
1283,901
1284,693
1285,764
1286,810
1287,895
1288,916
1289,950
1290,808
1291,659
1292,597
1293,522
1294,545
1295,580
1296,615
1297,595
1298,536
1299,568
1300,611
1301,590
1302,577
1303,556
1304,566
1305,567
1306,563
1307,505
1308,509
1309,491
1310,467
1311,440
1312,446
1313,451
1314,451
1315,436
1316,419
1317,475
1318,440
1319,420
1320,425
1321,416
1322,458
1323,435
1324,422
1325,395
1326,445
1327,439
1328,401
1329,446
1330,498
1331,488
1332,482
1333,487
1334,464
1335,459
1336,505
1337,512
1338,484
1339,508
1340,482
1341,492
1342,491
1343,535
1344,604
1345,574
1346,605
1347,592
1348,673
1349,799
1350,952
1351,1080
1352,1161
1353,1301
1354,1434
1355,1715
1356,1503
1357,1294
1358,1349
1359,1321
1360,1948
1361,2790
1362,3597
1363,3903
1364,3037
1365,2451
1366,2041
1367,1688
1368,1254
1369,859
1370,576
1371,611
1372,556
1373,523
1374,419
1375,495
1376,498
1377,478
1378,503
1379,517
1380,509
1381,494
1382,499
1383,472
1384,463
1385,480
1386,440
1387,437
1388,463
1389,459
1390,425
1391,558
1392,699
1393,857
1394,855
1395,749
1396,610
1397,616
1398,770
1399,1081
1400,1288
1401,1303
1402,1373
1403,1372
1404,1397
1405,1516
1406,1664
1407,1654
1408,1466
1409,1414
1410,1220
1411,1086
1412,833
1413,531
1414,423
1415,384
1416,389
1417,408
1418,422
1419,407
1420,424
1421,389
1422,393
1423,394
1424,374
1425,381
1426,396
1427,399
1428,386
1429,414
1430,377
1431,373
1432,431
1433,435
1434,444
1435,442
1436,444
1437,380
1438,398
1439,408
1440,398
1441,388
1442,367
1443,413
1444,364
1445,377
1446,432
1447,578
1448,713
1449,711
1450,647
1451,487
1452,449
1453,382
1454,371
1455,351
1456,354
1457,398
1458,397
1459,377
1460,369
1461,414
1462,368
1463,362
1464,386
1465,357
1466,386
1467,391
1468,368
1469,338
1470,369
1471,334
1472,346
1473,376
1474,384
1475,370
1476,331
1477,345
1478,354
1479,387
1480,416
1481,381
1482,377
1483,349
1484,399
1485,402
1486,426
1487,453
1488,482
1489,475
1490,546
1491,520
1492,575
1493,541
1494,637
1495,606
1496,670
1497,649
1498,701
1499,672
1500,727
1501,786
1502,752
1503,783
1504,793
1505,857
1506,892
1507,822
1508,843
1509,789
1510,765
1511,787
1512,754
1513,756
1514,696
1515,722
1516,659
1517,660
1518,625
1519,639
1520,624
1521,570
1522,602
1523,586
1524,659
1525,610
1526,567
1527,634
1528,631
1529,624
1530,622
1531,599
1532,656
1533,542
1534,573
1535,571
1536,537
1537,515
1538,508
1539,526
1540,499
1541,531
1542,509
1543,474
1544,458
1545,450
1546,477
1547,449
1548,457
1549,456
1550,415
1551,411
1552,427
1553,400
1554,433
1555,431
1556,386
1557,375
1558,388
1559,394
1560,370
1561,394
1562,408
1563,414
1564,425
1565,367
1566,386
1567,386
1568,390
1569,350
1570,375
1571,341
1572,343
1573,346
1574,330
1575,337
1576,344
1577,338
1578,403
1579,353
1580,362
1581,335
1582,344
1583,375
1584,357
1585,380
1586,376
1587,372
1588,414
1589,460
1590,425
1591,487
1592,437
1593,516
1594,575
1595,604
1596,666
1597,631
1598,610
1599,552
1600,469
1601,419
1602,448
1603,388
1604,375
1605,355
1606,388
1607,361
1608,416
1609,355
1610,357
1611,350
1612,402
1613,416
1614,415
1615,461
1616,433
1617,459
1618,479
1619,489
1620,474
1621,440
1622,402
1623,451
1624,418
1625,410
1626,375
1627,386
1628,351
1629,353
1630,333
1631,333
1632,345
1633,335
1634,360
1635,375
1636,331
1637,345
1638,329
1639,367
1640,350
1641,291
1642,335
1643,346
1644,337
1645,333
1646,364
1647,389
1648,388
1649,382
1650,401
1651,402
1652,411
1653,447
1654,469
1655,453
1656,456
1657,512
1658,456
1659,508
1660,490
1661,511
1662,500
1663,502
1664,556
1665,499
1666,503
1667,512
1668,520
1669,541
1670,575
1671,556
1672,532
1673,561
1674,532
1675,540
1676,560
1677,570
1678,563
1679,523
1680,516
1681,500
1682,520
1683,514
1684,525
1685,567
1686,553
1687,511
1688,534
1689,525
1690,548
1691,529
1692,525
1693,559
1694,516
1695,478
1696,479
1697,413
1698,421
1699,356
1700,332
1701,342
1702,343
1703,360
1704,389
1705,343
1706,377
1707,328
1708,341
1709,390
1710,370
1711,399
1712,388
1713,394
1714,374
1715,402
1716,415
1717,430
1718,415
1719,488
1720,465
1721,464
1722,455
1723,435
1724,451
1725,436
1726,521
1727,479
1728,417
1729,418
1730,407
1731,387
1732,370
1733,360
1734,365
1735,367
1736,395
1737,339
1738,357
1739,340
1740,341
1741,360
1742,344
1743,374
1744,384
1745,351
1746,369
1747,329
1748,332
1749,352
1750,391
1751,336
1752,355
1753,327
1754,327
1755,326
1756,355
1757,355
1758,339
1759,346
1760,328
1761,327
1762,357
1763,363
1764,322
1765,325
1766,315
1767,359
1768,332
1769,332
1770,338
1771,358
1772,342
1773,350
1774,334
1775,364
1776,345
1777,316
1778,334
1779,353
1780,356
1781,369
1782,339
1783,382
1784,346
1785,354
1786,356
1787,361
1788,357
1789,383
1790,350
1791,363
1792,368
1793,375
1794,400
1795,375
1796,387
1797,382
1798,429
1799,349
1800,423
1801,433
1802,457
1803,445
1804,422
1805,439
1806,429
1807,481
1808,421
1809,433
1810,443
1811,446
1812,430
1813,434
1814,450
1815,426
1816,442
1817,400
1818,413
1819,403
1820,429
1821,440
1822,436
1823,447
1824,470
1825,488
1826,416
1827,413
1828,454
1829,391
1830,412
1831,383
1832,396
1833,373
1834,361
1835,341
1836,375
1837,362
1838,392
1839,391
1840,415
1841,393
1842,405
1843,431
1844,429
1845,392
1846,422
1847,427
1848,426
1849,467
1850,439
1851,408
1852,426
1853,447
1854,432
1855,477
1856,479
1857,479
1858,463
1859,518
1860,459
1861,453
1862,467
1863,484
1864,465
1865,506
1866,443
1867,428
1868,461
1869,505
1870,470
1871,492
1872,470
1873,463
1874,501
1875,463
1876,477
1877,468
1878,513
1879,504
1880,482
1881,476
1882,543
1883,528
1884,536
1885,570
1886,486
1887,431
1888,436
1889,444
1890,419
1891,358
1892,440
1893,473
1894,469
1895,486
1896,521
1897,542
1898,591
1899,649
1900,662
1901,676
1902,781
1903,809
1904,938
1905,934
1906,1018
1907,1108
1908,1041
1909,919
1910,901
1911,799
1912,700
1913,621
1914,549
1915,453
1916,417
1917,404
1918,395
1919,401
1920,381
1921,380
1922,363
1923,391
1924,393
1925,392
1926,415
1927,348
1928,381
1929,374
1930,416
1931,387
1932,413
1933,390
1934,379
1935,378
1936,383
1937,367
1938,413
1939,378
1940,404
1941,403
1942,402
1943,404
1944,430
1945,409
1946,421
1947,386
1948,422
1949,363
1950,409
1951,419
1952,388
1953,437
1954,416
1955,407
1956,425
1957,456
1958,461
1959,417
1960,386
1961,441
1962,391
1963,409
1964,411
1965,383
1966,408
1967,466
1968,418
1969,394
1970,401
1971,398
1972,445
1973,422
1974,400
1975,416
1976,395
1977,402
1978,403
1979,408
1980,405
1981,425
1982,402
1983,393
1984,390
1985,423
1986,387
1987,435
1988,410
1989,445
1990,431
1991,412
1992,425
1993,446
1994,439
1995,429
1996,422
1997,418
1998,432
1999,484
2000,478
2001,455
2002,489
2003,419
2004,426
2005,455
2006,470
2007,472
2008,467
2009,440
2010,425
2011,427
2012,448
2013,458
2014,426
2015,428
2016,450
2017,385
2018,422
2019,400
2020,394
2021,394
2022,433
2023,421
2024,403
2025,412
2026,401
2027,362
2028,337
2029,333
2030,318
2031,327
2032,347
2033,352
2034,328
2035,346
2036,309
2037,356
2038,340
2039,348
2040,357
2041,335
2042,366
2043,332
2044,362
2045,335
2046,368
2047,376
2048,374
2049,393
2050,396
2051,477
2052,709
2053,878
2054,992
2055,1119
2056,1244
2057,1275
2058,1192
2059,1048
2060,952
2061,878
2062,584
2063,480
2064,458
2065,383
2066,344
2067,296
2068,335
2069,328
2070,289
2071,307
2072,316
2073,315
2074,320
2075,334
2076,365
2077,315
2078,360
2079,377
2080,311
2081,295
2082,288
2083,278
2084,289
2085,308
2086,287
2087,302
2088,277
2089,310
2090,272
2091,273
2092,271
2093,268
2094,275
2095,260
2096,253
2097,259
2098,274
2099,271
2100,247
2101,245
2102,250
2103,243
2104,249
2105,248
2106,270
2107,265
2108,258
2109,283
2110,296
2111,313
2112,314
2113,315
2114,323
2115,301
2116,324
2117,311
2118,324
2119,344
2120,358
2121,366
2122,347
2123,341
2124,370
2125,355
2126,310
2127,358
2128,301
2129,326
2130,293
2131,302
2132,303
2133,302
2134,297
2135,264
2136,244
2137,237
2138,222
2139,218
2140,210
2141,186
2142,216
2143,187
2144,192
2145,190
2146,177
2147,173
2148,184
2149,176
2150,182
2151,187
2152,214
2153,189
2154,193
2155,209
2156,179
2157,196
2158,194
2159,202
2160,193
2161,181
2162,185
2163,206
2164,197
2165,181
2166,205
2167,170
2168,199
2169,185
2170,231
2171,187
2172,175
2173,188
2174,186
2175,195
2176,185
2177,169
2178,182
2179,192
2180,199
2181,182
2182,183
2183,179
2184,168
2185,170
2186,157
2187,179
2188,157
2189,166
2190,166
2191,167
2192,149
2193,128
2194,151
2195,165
2196,144
2197,133
2198,105
2199,124
2200,122
2201,120
2202,110
2203,118
2204,99
2205,127
2206,122
2207,101
2208,121
2209,116
2210,123
2211,121
2212,118
2213,131
2214,79
2215,96
2216,109
2217,119
2218,99
2219,111
2220,96
2221,101
2222,107
2223,115
2224,101
2225,104
2226,113
2227,104
2228,90
2229,95
2230,70
2231,121
2232,110
2233,82
2234,99
2235,108
2236,118
2237,110
2238,112
2239,101
2240,103
2241,89
2242,90
2243,83
2244,81
2245,83
2246,95
2247,83
2248,79
2249,104
2250,81
2251,72
2252,82
2253,77
2254,83
2255,65
2256,98
2257,80
2258,80
2259,110
2260,98
2261,92
2262,91
2263,114
2264,100
2265,89
2266,82
2267,109
2268,90
2269,90
2270,85
2271,71
2272,69
2273,69
2274,71
2275,68
2276,71
2277,74
2278,75
2279,81
2280,48
2281,89
2282,59
2283,82
2284,71
2285,60
2286,61
2287,58
2288,69
2289,80
2290,70
2291,60
2292,80
2293,62
2294,63
2295,57
2296,62
2297,72
2298,66
2299,59
2300,62
2301,70
2302,54
2303,59
2304,68
2305,76
2306,60
2307,62
2308,67
2309,70
2310,67
2311,67
2312,68
2313,82
2314,90
2315,74
2316,64
2317,58
2318,68
2319,73
2320,73
2321,67
2322,69
2323,71
2324,76
2325,71
2326,82
2327,75
2328,75
2329,62
2330,71
2331,84
2332,85
2333,91
2334,79
2335,85
2336,110
2337,106
2338,134
2339,158
2340,254
2341,321
2342,1033
2343,2616
2344,6272
2345,11169
2346,18962
2347,23069
2348,22582
2349,17960
2350,11488
2351,5599
2352,2578
2353,390
2354,159
2355,62
2356,49
2357,33
2358,43
2359,43
2360,29
2361,32
2362,29
2363,37
2364,36
2365,33
2366,30
2367,33
2368,28
2369,31
2370,34
2371,37
2372,32
2373,30
2374,35
2375,31
2376,20
2377,25
2378,43
2379,32
2380,26
2381,31
2382,35
2383,33
2384,36
2385,24
2386,35
2387,28
2388,36
2389,26
2390,29
2391,38
2392,40
2393,52
2394,49
2395,54
2396,71
2397,56
2398,44
2399,44
2400,29
2401,34
2402,31
2403,46
2404,37
2405,60
2406,57
2407,64
2408,64
2409,54
2410,50
2411,83
2412,45
2413,59
2414,59
2415,52
2416,43
2417,50
2418,51
2419,40
2420,38
2421,48
2422,56
2423,36
2424,23
2425,50
2426,25
2427,39
2428,32
2429,33
2430,40
2431,39
2432,26
2433,34
2434,28
2435,27
2436,29
2437,32
2438,20
2439,32
2440,32
2441,31
2442,29
2443,25
2444,29
2445,38
2446,32
2447,41
2448,29
2449,34
2450,27
2451,48
2452,45
2453,61
2454,64
2455,64
2456,65
2457,72
2458,73
2459,112
2460,79
2461,95
2462,103
2463,117
2464,90
2465,123
2466,114
2467,93
2468,99
2469,108
2470,83
2471,88
2472,96
2473,88
2474,75
2475,89
2476,72
2477,81
2478,55
2479,50
2480,35
2481,40
2482,29
2483,41
2484,29
2485,28
2486,46
2487,28
2488,42
2489,32
2490,36
2491,28
2492,28
2493,30
2494,29
2495,31
2496,26
2497,32
2498,37
2499,40
2500,33
2501,42
2502,42
2503,36
2504,36
2505,31
2506,36
2507,24
2508,34
2509,43
2510,29
2511,35
2512,33
2513,20
2514,31
2515,35
2516,36
2517,31
2518,39
2519,30
2520,36
2521,35
2522,27
2523,37
2524,28
2525,28
2526,35
2527,29
2528,27
2529,29
2530,26
2531,23
2532,34
2533,26
2534,33
2535,28
2536,29
2537,23
2538,42
2539,25
2540,29
2541,24
2542,30
2543,24
2544,31
2545,26
2546,27
2547,23
2548,28
2549,31
2550,20
2551,22
2552,28
2553,23
2554,26
2555,25
2556,23
2557,23
2558,28
2559,19
2560,17
2561,22
2562,24
2563,29
2564,20
2565,20
2566,18
2567,29
2568,31
2569,26
2570,22
2571,30
2572,25
2573,35
2574,21
2575,32
2576,25
2577,23
2578,17
2579,20
2580,36
2581,13
2582,16
2583,27
2584,27
2585,25
2586,17
2587,30
2588,20
2589,20
2590,26
2591,25
2592,20
2593,22
2594,25
2595,29
2596,22
2597,27
2598,20
2599,27
2600,16
2601,26
2602,27
2603,28
2604,24
2605,28
2606,23
2607,23
2608,28
2609,24
2610,31
2611,24
2612,32
2613,30
2614,31
2615,31
2616,37
2617,27
2618,30
2619,38
2620,44
2621,49
2622,37
2623,54
2624,38
2625,44
2626,47
2627,58
2628,50
2629,45
2630,41
2631,43
2632,42
2633,46
2634,42
2635,44
2636,37
2637,51
2638,43
2639,41
2640,47
2641,25
2642,44
2643,32
2644,36
2645,28
2646,25
2647,30
2648,26
2649,30
2650,18
2651,21
2652,25
2653,19
2654,23
2655,26
2656,32
2657,26
2658,21
2659,18
2660,29
2661,18
2662,24
2663,35
2664,13
2665,24
2666,23
2667,20
2668,23
2669,16
2670,18
2671,26
2672,22
2673,22
2674,25
2675,21
2676,19
2677,18
2678,20
2679,23
2680,23
2681,31
2682,17
2683,35
2684,17
2685,23
2686,15
2687,19
2688,19
2689,27
2690,15
2691,21
2692,7
2693,19
2694,22
2695,19
2696,21
2697,22
2698,25
2699,19
2700,17
2701,23
2702,15
2703,28
2704,18
2705,27
2706,17
2707,25
2708,18
2709,19
2710,21
2711,12
2712,21
2713,22
2714,24
2715,26
2716,19
2717,25
2718,20
2719,14
2720,20
2721,15
2722,25
2723,14
2724,21
2725,21
2726,15
2727,21
2728,13
2729,14
2730,20
2731,18
2732,14
2733,13
2734,16
2735,23
2736,14
2737,27
2738,17
2739,25
2740,17
2741,17
2742,20
2743,19
2744,17
2745,21
2746,21
2747,15
2748,13
2749,18
2750,13
2751,13
2752,16
2753,14
2754,15
2755,22
2756,21
2757,20
2758,35
2759,32
2760,39
2761,64
2762,51
2763,34
2764,25
